         31874 function calls (31325 primitive calls) in 0.048 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 base_parser.py:190(_validate_parse_dates_presence)
        2    0.000    0.000    0.000    0.000 {built-in method torch.where}
       12    0.000    0.000    0.000    0.000 dataset.py:450(<listcomp>)
        2    0.000    0.000    0.000    0.000 common.py:1155(_is_binary_mode)
       12    0.000    0.000    0.000    0.000 dataset.py:458(<listcomp>)
       36    0.000    0.000    0.000    0.000 blocks.py:2236(is_view)
        3    0.000    0.000    0.000    0.000 missing.py:564(_array_equivalent_object)
        1    0.000    0.000    0.000    0.000 base.py:1682(_validate_names)
        1    0.000    0.000    0.000    0.000 common.py:538(infer_compression)
       32    0.000    0.000    0.000    0.000 range.py:963(__len__)
       36    0.000    0.000    0.000    0.000 base.py:1168(_maybe_disallow_fill)
        1    0.000    0.000    0.000    0.000 concat.py:478(_get_ndims)
        2    0.000    0.000    0.000    0.000 frame.py:641(_constructor_from_mgr)
        2    0.000    0.000    0.000    0.000 warnings.py:165(simplefilter)
       14    0.000    0.000    0.000    0.000 {built-in method torch._C._get_tracing_state}
       36    0.000    0.000    0.000    0.000 {built-in method torch._C._is_tracing}
       40    0.000    0.000    0.000    0.000 managers.py:235(items)
        4    0.000    0.000    0.000    0.000 {built-in method builtins.sum}
        6    0.000    0.000    0.000    0.000 series.py:653(name)
        1    0.000    0.000    0.000    0.000 missing.py:261(_isna_array)
        1    0.000    0.000    0.000    0.000 concat.py:543(_get_sample_object)
       88    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
        2    0.000    0.000    0.000    0.000 common.py:233(stringify_path)
       73    0.000    0.000    0.000    0.000 {pandas._libs.lib.item_from_zerodim}
        1    0.000    0.000    0.000    0.000 managers.py:1740(<listcomp>)
       36    0.000    0.000    0.000    0.000 contextlib.py:420(__init__)
        1    0.000    0.000    0.000    0.000 dataset.py:290(<dictcomp>)
       41    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 series.py:612(_constructor_expanddim_from_mgr)
       78    0.000    0.000    0.000    0.000 {pandas._libs.lib.is_integer}
       73    0.000    0.000    0.000    0.000 managers.py:1790(ndim)
       34    0.000    0.000    0.000    0.000 common.py:1255(is_1d_only_ea_dtype)
      112    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
        4    0.000    0.000    0.000    0.000 base.py:73(_validate_set_axis)
        1    0.000    0.000    0.000    0.000 concat.py:303(<listcomp>)
        2    0.000    0.000    0.000    0.000 concat.py:466(<listcomp>)
        1    0.000    0.000    0.000    0.000 managers.py:1837(to_2d_mgr)
       39    0.000    0.000    0.000    0.000 managers.py:1902(_block)
        1    0.000    0.000    0.000    0.000 dataset.py:430(<listcomp>)
        1    0.000    0.000    0.000    0.000 nanops.py:482(nanany)
        1    0.000    0.000    0.000    0.000 shape_base.py:219(vstack)
        3    0.000    0.000    0.000    0.000 codecs.py:319(decode)
       14    0.000    0.000    0.000    0.000 numerictypes.py:283(issubclass_)
       24    0.000    0.000    0.000    0.000 functional.py:115(_is_numpy)
       12    0.000    0.000    0.000    0.000 functional.py:366(_compute_resized_output_size)
        1    0.000    0.000    0.000    0.000 dataset.py:289(<listcomp>)
        1    0.000    0.000    0.000    0.000 series.py:601(_expanddim_from_mgr)
        9    0.000    0.000    0.000    0.000 concat.py:587(<genexpr>)
        1    0.000    0.000    0.000    0.000 concat.py:565(<listcomp>)
        2    0.000    0.000    0.000    0.000 common.py:1194(is_potential_multi_index)
       28    0.000    0.000    0.000    0.000 concat.py:73(<listcomp>)
       26    0.000    0.000    0.000    0.000 c_parser_wrapper.py:369(<setcomp>)
       72    0.000    0.000    0.000    0.000 _jit_internal.py:1109(is_scripting)
        5    0.000    0.000    0.000    0.000 config.py:633(_get_root)
        1    0.000    0.000    0.000    0.000 {method 'any' of 'numpy.ndarray' objects}
